                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0077,                0.59899,                 1.0747,                0.89574,                0.91396,                0.90453,                0.47465,                   1.55,                0.63966,                 1.4433,              0.0009836,              0.0009836,              0.0009836
                     80,                0.98166,                 0.5617,                  1.066,                0.89959,                0.87234,                0.88911,                0.48664,                 1.4614,                 0.6176,                 1.3275,              0.0009704,              0.0009704,              0.0009704
                     81,                0.98717,                0.57596,                 1.0694,                0.89194,                0.87816,                0.91008,                0.49118,                 1.5858,                0.64111,                 1.4433,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.0388,                0.58032,                 1.0791,                0.90657,                0.91489,                0.90227,                  0.489,                 1.5473,                0.63195,                 1.4379,               0.000944,               0.000944,               0.000944
                     83,                 1.0211,                0.58787,                 1.0751,                0.89237,                0.88216,                0.89415,                 0.4811,                 1.4921,                0.65009,                 1.3714,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.0218,                0.58812,                 1.0636,                0.89337,                0.85106,                0.87764,                0.49095,                 1.5034,                0.65365,                 1.3712,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.0181,                0.56791,                 1.0563,                0.88003,                0.85106,                0.90001,                0.50648,                 1.4812,                 0.6262,                 1.3904,              0.0009044,              0.0009044,              0.0009044
                     86,                0.96994,                0.55728,                 1.0538,                0.86574,                0.80851,                0.89448,                0.50259,                 1.4792,                0.66571,                 1.3743,              0.0008912,              0.0008912,              0.0008912
                     87,                0.99157,                 0.5477,                 1.0588,                0.86668,                0.89362,                0.89969,                0.48709,                 1.5344,                0.66498,                 1.3959,               0.000878,               0.000878,               0.000878
                     88,                 1.0019,                0.55483,                 1.0649,                0.91007,                0.89362,                0.93378,                0.51064,                 1.5185,                0.64185,                 1.4232,              0.0008648,              0.0008648,              0.0008648
                     89,                0.98109,                0.54617,                  1.046,                0.90314,                0.89362,                0.91102,                0.49019,                 1.5086,                0.66494,                 1.4785,              0.0008516,              0.0008516,              0.0008516
